strategy,family,moic,irr_ann,max_dd,btc,avg_cost,avg_expo,premium,btc_ratio,calmar,excess_irr_vs_cash
純現金 5% APY,基線,1.0788297197764078,0.05126534580488573,0.0,0.0,,0.0,,0.0,,0.0
DCA,基線,1.2262950531519623,0.14098949179307185,-0.45627211690526215,0.5825677940505335,60078.84465539818,1.0,,1.0,0.30900308515312175,0.08972414598818612
屯幣網格-基準,屯幣網格,1.1369342344564481,0.08751564656170974,-0.3855582587690002,0.48651199128324296,72287.85814699614,0.7040894649899195,0.0,0.835116524208411,0.22698423538151483,0.036250300756824005
屯幣網格-全程冷卻,屯幣網格,1.122111519455919,0.07838447193302378,-0.3614780651763655,0.46262696577923806,73354.9868741193,0.6584808447384171,0.0,0.7941169602985444,0.21684433852101073,0.02711912612813805
屯幣網格-EMA條件冷卻,屯幣網格,1.077181676690576,0.05021888789205331,-0.40452406313831346,0.45701852776308205,75419.80648656019,0.7079325023252049,0.0,0.784489860974771,0.12414314120760386,-0.0010464579128324214
call常態輪動 otm2%,covered call,1.1661504848940671,0.10528981846780705,-0.11430057075168576,0.1857486940907216,76026.57730196792,0.24066199955823836,1681.707689053636,0.318844769634844,0.9211661654476401,0.05402447266292132
call常態輪動 otm5%,covered call,1.1337773231483925,0.0855774133123417,-0.22794717062368974,0.27181636163415257,90824.47470610526,0.41304426474722616,775.4683946702537,0.466583227583251,0.3754265213215502,0.03431206750745597
call EMA上才賣 otm3%,covered call,1.1820164385370433,0.11482120984257849,-0.2290240694062602,0.4740687510039054,93469.27384818552,0.3971352730900328,875.6332921596182,0.8137572242154935,0.501349967888746,0.06355586403769276
DCA+CC 10% 常態,DCA+CC,1.248967661865285,0.1541517485865569,-0.4256576642752913,0.592097398628284,,1.0,4334.834389297788,1.0163579323729728,0.3621495899739286,0.10288640278167116
DCA+CC 25% 常態,DCA+CC,1.2601873258988125,0.1606078240725617,-0.3805974710962099,0.5955473872076106,,1.0,8007.234545955784,1.0222799703135514,0.42198867903660403,0.10934247826767596
DCA+CC 25% EMA上,DCA+CC,1.2730357505429002,0.16795544776489235,-0.4316814258880922,0.6046605661647687,,1.0,5553.703702640299,1.0379230921102358,0.38907267649832267,0.11669010196000662
