size,m,total_input,final,moic,paper_irr,xirr,bh_final,bh_moic,bh_xirr,max_dd,coin_share,n_up,n_dn,n_inject
0.005,2,893255.2799999887,1664324.587492865,1.8632127061066865,0.1899613932601809,0.27549104788615664,1672969.6191258691,1.8728908259303993,0.2779730448788901,-0.6258704786860133,0.9999998723205789,9053,8970,8971
0.005,5,135667.5640000005,254489.1958874041,1.875829331522479,0.19220789784438508,0.2813775163304896,256993.00574852052,1.8942848103952066,0.286125825701094,-0.6091100286314421,0.9999969939784777,1452,1373,1374
0.005,10,29321.677999999978,56609.23900001611,1.930627537756064,0.2018407828132378,0.2949902057538015,57492.11840870025,1.960737663400447,0.30255633777114455,-0.6053148288717961,0.999377672255937,337,301,302
0.01,2,212940.0199999992,400692.13262816996,1.8817136047426475,0.19325192457467466,0.28159255857351473,403059.09573791514,1.8928292377258003,0.2844366746461605,-0.620352469704835,0.9998752159178369,2246,2152,2153
0.01,5,29161.171999999995,56677.93733208366,1.9436097195299171,0.20409396922166678,0.29819948077327474,57196.38903409146,1.9613885557854625,0.30265472663446735,-0.6053281502675678,0.9994669883658082,337,301,302
0.01,10,6866.768,13474.649981964943,1.9622987090819062,0.2073186643224758,0.30092991912053757,13731.708519572785,1.9997338660011208,0.3101654110065776,-0.5410420697258993,0.9982867829568192,89,73,74
0.02,2,48445.580000000155,92843.89877649426,1.916457575211071,0.1993689498489566,0.28811263889455907,93457.49849400569,1.9291233275358741,0.2912898482763705,-0.5996091489707875,0.9999975227235928,541,496,497
0.02,5,6837.696,13507.475580090388,1.9754425438174479,0.20957333933994038,0.3039810624980229,13678.53627608277,2.0004598443807344,0.3101334450758201,-0.5412585255767484,0.9985717538495176,89,73,74
0.02,10,1787.6599999999999,3581.9351415513433,2.0037004472614166,0.21438430719696977,0.29811398696398406,3754.8259073280933,2.100413897121429,0.32047924630888314,-0.5059311613750913,0.9869450455823309,29,20,21
0.05,2,6885.749999999997,13602.35887823963,1.9754360640801125,0.2095722304817096,0.3039696969622835,13781.418207169923,2.0014403960599685,0.3103641126058284,-0.5415430783136935,0.9994217914649656,89,73,74
0.05,5,649.96,1445.0487092603023,2.223288678165275,0.2501965795516867,0.3341902260818864,1522.1712640711696,2.3419460644826904,0.3589253320202487,-0.4158849607998796,0.9284965279454899,13,7,8
0.05,10,216.51,515.2189108837165,2.3796541078181908,0.27417178216827764,0.36220807328335336,620.5584709622212,2.8661884945832585,0.4513011154233998,-0.306452538401757,0.7820052843026386,5,2,3
0.1,2,1809.7200000000003,3646.8472422223185,2.0151444655650144,0.21631877094912788,0.29974821422409315,3808.0823756340624,2.1042384322624836,0.3202342825944263,-0.50684358490229,0.9914583754319751,29,20,21
0.1,5,221.28000000000003,525.2261381307541,2.3735816076046365,0.27326222153999113,0.36375710042847487,638.5931935499934,2.885905610764612,0.4581293183206675,-0.3099960807881321,0.7820900528535627,5,2,3
0.1,10,100.0,151.6124732128174,1.5161247321281741,0.1233413593718955,0.12323082421914788,223.26484469618785,2.2326484469618784,0.2514276107176986,0.0,0.33109725175681376,1,0,1
