size,m,final_irr,peak_irr_burn30,peak_t_burn30,peak_irr_burn60,peak_t_burn60,peak_irr_burn90,peak_t_burn90
0.005,2,0.18980328793746049,30.784324903288294,2021-02,10.084267380738641,2021-03,4.656859136775002,2021-04
0.005,5,0.19204777632881598,33.25325653464163,2021-02,10.481221527392995,2021-03,4.667076054397192,2021-04
0.005,10,0.20167197941910953,36.948148022768535,2021-02,12.495557345201542,2021-03,5.564732247246717,2021-04
0.01,2,0.19309086496590933,34.30229507723779,2021-02,10.385180162311453,2021-03,4.8222261564428734,2021-04
0.01,5,0.20392312656477696,38.76549753757437,2021-02,12.964677361001176,2021-03,5.725449145705577,2021-04
0.01,10,0.2071448975343413,52.1289754467804,2021-02,13.240872629895176,2021-03,5.9309490937391836,2021-04
0.02,2,0.19920237989613243,39.17978671877358,2021-02,11.411548905899128,2021-03,5.105033887567645,2021-04
0.02,5,0.20939752412168078,54.34164114473452,2021-02,13.684338374689533,2021-03,6.083354649879714,2021-04
0.02,10,0.21420411037296416,23.175732271165874,2021-02,9.397693524012439,2021-03,5.270718364329369,2021-04
0.05,2,0.20939641627166505,58.51723624051315,2021-02,14.149442644852744,2021-03,6.2004196128393865,2021-04
0.05,5,0.24998331320282463,12.414915630069647,2021-02,6.647760887923799,2021-03,2.880875686377908,2021-04
0.05,10,0.2739359378002977,8.008938112870062,2021-02,3.1093505565631014,2021-03,1.5651775354032038,2021-04
0.1,2,0.2161368082013737,24.129527037912517,2021-02,9.292880303375128,2021-03,5.306917779272769,2021-04
0.1,5,0.27302724005197154,9.013205736857026,2021-02,3.3982777704274767,2021-03,1.6840295448452332,2021-04
0.1,10,0.1232415453998641,6.853025321843012,2021-02,4.9240386725453265,2021-03,2.273385438510393,2021-04
