asset,hyst,put_frac,put_otm,cap,moic,irr_ann,max_dd,calmar,coin_ratio,expo_mean,expo_final,bear_time,prem
ETH,price,0.1,0.01,0.8,1.0830099203344716,0.05391500388223647,-0.37744834074026834,0.14284074948242184,1.0959357737537618,0.555595923949178,0.8032174364005191,0.4587242026266416,3550.929099621875
ETH,price,0.1,0.01,0.9,1.0731110839309776,0.04762972427148604,-0.41287112181330454,0.1153622080960742,1.2178171006727831,0.5804449369514737,0.9007781570939479,0.4587242026266416,3977.5463195673356
ETH,price,0.1,0.02,0.8,1.087984768837051,0.05705972267521786,-0.3760583689068232,0.15173102739632335,1.1069549353620345,0.5398310614299017,0.8075837736484053,0.4587242026266416,3185.797689633597
ETH,price,0.1,0.02,0.9,1.094128471616742,0.06093045144277642,-0.3991803643568764,0.15263889931295116,1.2368919244627326,0.5604927500807764,0.8973128632197672,0.4587242026266416,3486.4485099308763
ETH,price,0.1,0.03,0.8,1.1176904844068107,0.07564585384951172,-0.36674178725242146,0.20626461581114047,1.1342156235178884,0.5027907853161128,0.8054795721026826,0.4587242026266416,2955.4151377922735
ETH,price,0.1,0.03,0.9,1.1204340704120186,0.07734619905406936,-0.37175007934452897,0.20805967060033034,1.245344646124935,0.5118211283112859,0.8822338367399527,0.4587242026266416,3065.6573533733776
ETH,price,0.2,0.01,0.8,1.073557952120288,0.047914272750971376,-0.3781853533042223,0.12669520998722514,1.0882714767272674,0.5865816016651588,0.8046225732605928,0.4587242026266416,3866.5681623980563
ETH,price,0.2,0.01,0.9,1.0507687547068285,0.03330385643582012,-0.41548483514949075,0.0801566113089,1.2007049522638833,0.6236125441232532,0.9070048524332948,0.4587242026266416,4044.8533295370953
ETH,price,0.2,0.02,0.8,1.0517552672324482,0.03394055475290192,-0.37930127917503675,0.08948178299509324,1.0695065214411013,0.5771605964152569,0.8071406130673324,0.4587242026266416,3101.015312148723
ETH,price,0.2,0.02,0.9,1.0321121159094897,0.021189099092936647,-0.41502571978639025,0.05105490595581034,1.1708045817966475,0.6085918270482374,0.9004052032062548,0.4587242026266416,3374.754947557859
ETH,price,0.2,0.03,0.8,1.0691858933968652,0.045127004118882263,-0.37959318137452647,0.11888254671876627,1.1077201069382132,0.5557346210835412,0.822351100095841,0.4587242026266416,2932.169025698788
ETH,price,0.2,0.03,0.9,1.0659633581419354,0.04306784070183367,-0.41483438894642066,0.10381935984433596,1.219345214029934,0.5837566328652875,0.9079561205985555,0.4587242026266416,3232.8419232091537
ETH,price,0.3,0.01,0.8,1.0532432293633316,0.03490015786955181,-0.3896271690663269,0.08957321419136122,1.094997403062646,0.5996028433824856,0.825210740942454,0.4587242026266416,3928.7450579284414
ETH,price,0.3,0.01,0.9,1.0402048795388927,0.026461462395046764,-0.41898101328671644,0.06315671010356429,1.177029465737069,0.6390936969283616,0.8981500684648386,0.4587242026266416,4027.1914190089
ETH,price,0.3,0.02,0.8,1.0557655678476847,0.036524834821016094,-0.38420955553154523,0.09506487877555468,1.1083526340277912,0.5926713889154113,0.8332799316628413,0.4587242026266416,3539.457614020482
ETH,price,0.3,0.02,0.9,1.0283419474278177,0.018723711670083132,-0.4182168496746824,0.044770342669473294,1.1636550665887606,0.6296900483730979,0.8981878420136001,0.4587242026266416,3425.039194052805
ETH,price,0.3,0.03,0.8,1.0422083212542657,0.027762575925385002,-0.38414401355307126,0.07227127052846673,1.0953821132240829,0.5775344229143478,0.8342410719135464,0.4587242026266416,3084.431610593518
ETH,price,0.3,0.03,0.9,1.0292000832660693,0.019285378156780997,-0.4170606772855838,0.04624118073729416,1.1820708824091704,0.6081713387795372,0.9116416655010704,0.4587242026266416,3301.591162727651
ETH,time,0.1,0.01,0.8,1.1229640382402077,0.07891176037884229,-0.37800423693033725,0.20875893090421896,1.140673689777586,0.5466978580107918,0.806261708904416,0.44746716697936206,3748.2295619069964
ETH,time,0.1,0.01,0.9,1.1215388852238102,0.07803014790966212,-0.41332666661988526,0.1887856608618537,1.277891860179469,0.5704315735534037,0.9043993197185316,0.44746716697936206,4195.645479507348
ETH,time,0.1,0.02,0.8,1.130019015780703,0.08326537052129357,-0.3762778751644734,0.2212869159126025,1.1555705297405872,0.5292261672080116,0.8116918114965289,0.44746716697936206,3380.223457295464
ETH,time,0.1,0.02,0.9,1.139294329398933,0.08896238138737633,-0.39541985275320024,0.22498208111695864,1.2959796916915591,0.5474252083160579,0.9029063747103413,0.44746716697936206,3637.252754513242
ETH,time,0.1,0.03,0.8,1.1769480306994315,0.11178546762729269,-0.3605553563067275,0.310036907431756,1.1736807004102903,0.48618984665063636,0.791540490377255,0.44746716697936206,3190.1010162546336
ETH,time,0.1,0.03,0.9,1.1758860616510565,0.11114832217720094,-0.36412190980239934,0.3052502999270728,1.3027900094085196,0.49441094737903474,0.8794064282921694,0.44746716697936206,3256.583612995305
ETH,time,0.2,0.01,0.8,1.1102422634324411,0.07101609503203621,-0.37924217800231885,0.18725790313228816,1.1338512074118878,0.5752024996556657,0.8106227169202266,0.44746716697936206,4076.1251579016325
ETH,time,0.2,0.01,0.9,1.092648317945918,0.059999199689478866,-0.4157676336474122,0.14430945276601453,1.2427165521315768,0.6126786504174552,0.9027596516623367,0.44746716697936206,4179.764575835084
ETH,time,0.2,0.02,0.8,1.0929295309355496,0.06017619028930321,-0.3801066738113231,0.1583139535170945,1.1193937128322402,0.565845044638785,0.8129637137653903,0.44746716697936206,3276.8624200822323
ETH,time,0.2,0.02,0.9,1.076865179473034,0.05001780277050072,-0.41686159723378224,0.1199865929181526,1.2276748800143293,0.5968318284116678,0.9049039716243528,0.44746716697936206,3536.0323033432487
ETH,time,0.2,0.03,0.8,1.1507217748260101,0.09594001119791584,-0.3819623051739349,0.2511766472721109,1.2007204317888829,0.5428985143925344,0.8282320426487787,0.44746716697936206,3289.7693554722373
ETH,time,0.2,0.03,0.9,1.1569637373743495,0.099732388388593,-0.4167936198363671,0.23928482501183168,1.3187310546568807,0.5672075191993594,0.9047257376035842,0.44746716697936206,3694.4621342987703
